address	length	data_type	value
1003a870	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a8b0	29	string	g->the_winsys->should_render
1003a8d0	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a910	29	string	g->the_winsys->should_render
1003a930	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a970	29	string	g->the_winsys->should_render
1003a990	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003a9d0	25	string	t->type == tile::TEXTURE
1003a9ec	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003aa2c	29	string	g->the_winsys->should_render
1003aa4c	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003aa8c	29	string	g->the_winsys->should_render
1003aaac	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
1003aaec	29	string	g->the_winsys->should_render
1003ab0c	63	string	D:\\ntank_cur_(with_super_server)\\client\\winsys\\win32_glide.cpp
